"","site.code","session","site.accession","subplot","rep","species","N","occ","density","max.tree","mean.tree","mode.tree","sd.tree","Liqr.tree","Uiqr.tree","mean.occtree","mode.occtree","sd.occtree","Liqr.occtree","Uiqr.occtree","tree.count"
"438","DCLU","5","DCLU005","8","DCLU005-8","BFF",43.5,7,0.10875,15.5,1.20833333333333,0,3.16989184132744,0,0,6.21428571428571,3,4.72455591261534,3,8,36
"439","DCLU","5","DCLU005","9","DCLU005-9","BFF",75,20,0.1875,8,2.02702702702703,0,2.31524520523429,0,3,3.75,3,1.83173774266262,3,3,37
"440","DCLU","5","DCLU005","10","DCLU005-10","BFF",34,8,0.085,8,0.918918918918919,0,2.04638405185529,0,0,4.25,3,2.31455024943138,3,4.25,37
"441","DCLU","6","DCLU006","1","DCLU006-1","BFF",15.5,1,0.03875,15.5,1.10714285714286,0,4.14254924964258,0,0,15.5,15.5,0,15.5,15.5,14
"442","DCLU","6","DCLU006","2","DCLU006-2","BFF",132,14,0.33,35.5,2.8695652173913,0,6.5187207185738,0,3,9.42857142857143,3,8.97187302041806,3,13.625,46
"443","DCLU","6","DCLU006","3","DCLU006-3","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
"444","DCLU","6","DCLU006","4","DCLU006-4","BFF",101,12,0.2525,15.5,3.15625,0,4.72371761058132,0,8,8.41666666666667,8,3.81881307912987,8,8,32
"445","DCLU","6","DCLU006","5","DCLU006-5","BFF",153.5,27,0.38375,15.5,3.74390243902439,3,4.32163445819332,0,3,5.68518518518519,3,4.15596917362001,3,8,41
"446","DCLU","6","DCLU006","6","DCLU006-6","BFF",57.5,10,0.14375,15.5,1.64285714285714,0,3.3945705536485,0,3,5.75,3,4.15832498329155,3,8,35
"447","DCLU","6","DCLU006","7","DCLU006-7","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
